Gene	NCBI gene ID	Chromosome	Locus	No of Studies	Proteins
DPT	1805	1	1q24.2	44	NP_001928;Q07507;ENSP00000356791
DPY19L1	23333	7	7p14.2	27	XP_011513548;XP_054213675;NP_001353602;NP_056098;Q2PZI1;A0A1B0GW05;A0A8I5KPK9;A0A8I5KSD1;A0A8I5KUQ5;A0A8J9BZN9;H7C1I8;H7C3M5;ENSP00000478865;ENSP00000508728;ENSP00000509303;ENSP00000509349;ENSP00000308695;ENSP00000490722;ENSP00000412745;ENSP00000400510
DPY19L3	147991	19	19q13.11	20	XP_006723108;XP_011524828;XP_016881855;XP_016881856;XP_047294203;XP_047294204;XP_047294205;XP_047294206;XP_047294207;XP_047294208;XP_047294209;XP_054175928;XP_054175929;XP_054175930;XP_054175931;XP_054175932;XP_054175933;XP_054175934;XP_054175935;XP_054175936;XP_054175937;NP_001166245;NP_997208;Q6ZPD9;K7ELB5;K7ELG1;K7ELH8;Q8N6Q4;S4R3D3;ENSP00000465995;ENSP00000376081;ENSP00000466086;ENSP00000344937;ENSP00000466062;ENSP00000465997;ENSP00000474174
DPY30	84661	2	2p22.3	35	XP_006712180;XP_006712181;XP_011531435;XP_016860600;XP_047301993;XP_047301994;XP_054200190;XP_054200191;NP_001308138;NP_001308139;NP_115963;Q9C005;ENSP00000345837;ENSP00000295066
DPYD	1806	1	1p21.3	47	XP_005270619;XP_006710460;XP_016855996;XP_047304032;XP_047304033;XP_054190775;XP_054190776;XP_054190777;XP_054190778;NP_000101;NP_001153773;Q12882;ENSP00000359211;ENSP00000307107
DPYSL2	1808	8	8p21.2	62	NP_001184222;NP_001231533;NP_001377;Q16555;A0A1C7CYX9;E5RFU4;ENSP00000427985;ENSP00000427954;ENSP00000309539;ENSP00000431117
DPYSL3	1809	5	5q32	61	XP_011535876;XP_054207931;NP_001184223;NP_001378;Q14195;D6RF19;H0YB87;H0YBT4;ENSP00000343690;ENSP00000381526;ENSP00000430267;ENSP00000428958;ENSP00000426720
DPYSL4	10570	10	10q26.3	25	XP_054220473;XP_054220474;XP_054220475;NP_006417;O14531;Q5T0Q6;ENSP00000339850;ENSP00000357616
DPYSL5	56896	2	2p23.3	21	XP_024308775;XP_054199026;NP_001240652;NP_001240653;NP_064519;Q9BPU6;E7ESV0;E7EWB4;E9PHT0;ENSP00000407174;ENSP00000288699;ENSP00000385549;ENSP00000399581;ENSP00000481305;ENSP00000413075
DR1	1810	1	1p22.1	42	NP_001929;Q01658;ENSP00000359295;ENSP00000359290
DRAM2	128338	1	1p13.3	14	XP_011539010;XP_047302198;XP_054190424;NP_001336810;NP_001336811;NP_001336813;NP_001336814;NP_001336815;NP_001336816;NP_001336817;NP_001336818;NP_001336819;NP_001336820;NP_001336821;NP_001336822;NP_848549;Q6UX65;S4R2Z2;ENSP00000503400;ENSP00000286692;ENSP00000437718;ENSP00000473779
DRAP1	10589	11	11q13.1	44	NP_006433;Q14919;C9JCC6;E9PMW2;E9PNC7;E9PQX9;ENSP00000437225;ENSP00000366190;ENSP00000307850;ENSP00000437287;ENSP00000432445
DRG1	4733	22	22q12.2	43	NP_004138;Q9Y295;F8WBU4;F8WEE0;H0YI06;ENSP00000329715;ENSP00000408091;ENSP00000448252;ENSP00000485935
DRG2	1819	17	17p11.2	35	XP_005256556;XP_005256557;XP_011522006;XP_054171280;XP_054171281;XP_054171282;NP_001317073;NP_001379;P55039;A8MZF9;J3KRL5;J3QKV7;J3QKW7;J3QL90;J3QLF3;J3QQI1;J3QR71;J3QRI9;ENSP00000462978;ENSP00000379076;ENSP00000464004;ENSP00000225729;ENSP00000464076;ENSP00000463747;ENSP00000463268;ENSP00000463522;ENSP00000464244;ENSP00000463436;ENSP00000462060;ENSP00000463256
DROSHA	29102	5	5p13.3	35	NP_001093882;NP_001369437;NP_037367;Q9NRR4;E5RHD1;H0YB67;H7C5U6;ENSP00000339845;ENSP00000425979;ENSP00000424161;ENSP00000422745;ENSP00000428782;ENSP00000430921
DSC2	1824	18	18q12.1	48	NP_001393435;NP_001393436;NP_004940;NP_077740;Q02487;A0A3B3ISU0;ENSP00000251081;ENSP00000280904;ENSP00000507826;ENSP00000497441
DSC3	1825	18	18q12.1	22	NP_001932;NP_077741;Q14574;J3QRL9;ENSP00000353608;ENSP00000392068;ENSP00000464283
DSCC1	79075	8	8q24.12	21	XP_005251122;XP_054217170;NP_076999;Q9BVC3;ENSP00000322180
DSG1	1828	18	18q12.1	17	NP_001933;Q02413;ENSP00000257192
DSG2	1829	18	18q12.1	51	XP_047293271;XP_054174212;NP_001934;Q14126;A0A804HIA2;A0A804HJ09;A0A804HJQ3;A0A804HLK9;J3KSI6;ENSP00000261590;ENSP00000462503;ENSP00000506971;ENSP00000507600;ENSP00000508401;ENSP00000507307
DSG3	1830	18	18q12.1	24	XP_011524152;XP_054174213;NP_001935;P32926;ENSP00000257189
DSN1	79980	20	20q11.23	46	XP_006723939;XP_016883559;XP_047296457;XP_047296458;XP_054180010;XP_054180011;XP_054180012;XP_054180013;NP_001138787;NP_001138788;NP_001138789;NP_001138790;NP_079194;Q9H410;Q5JW53;Q5JW54;Q5JW57;ENSP00000389810;ENSP00000362845;ENSP00000404463;ENSP00000362855;ENSP00000362839;ENSP00000395760;ENSP00000399654
DSP	1832	6	6p24.3	56	NP_001008844;NP_001305963;NP_001393520;NP_004406;P15924;A0A804HL18;ENSP00000396591;ENSP00000369129;ENSP00000508162
DST	667	6	6p12.1	52	NP_001138241;NP_001138242;NP_001361651;NP_001361658;NP_001361659;NP_001361663;NP_001361665;NP_001373029;NP_001714;NP_056363;NP_899236;Q03001;F8W9J4;A0A0U1RQJ2;A0A494C073;A0A494C1U5;A0A7P0T890;E7ETB9;E9PHM6;F6QMI7;A0A494C1D7;E7ERX3;H0YAT7;H0YBX0;H0YC65;H0YC82;Q5T0V7;Q6P0N6;ENSP00000244364;ENSP00000307959;ENSP00000400883;ENSP00000359824;ENSP00000505098;ENSP00000431030;ENSP00000393082;ENSP00000498389;ENSP00000499198;ENSP00000431020;ENSP00000489032;ENSP00000354508;ENSP00000430472;ENSP00000489111;ENSP00000431121;ENSP00000498983;ENSP00000404924;ENSP00000359801;ENSP00000428068;ENSP00000431003;ENSP00000429221
DSTN	11034	20	20p12.1	55	XP_054178845;XP_054178846;XP_054178847;NP_001011546;NP_006861;P60981;F6RFD5;ENSP00000246069;ENSP00000476975;ENSP00000434355
DSTYK	25778	1	1q32.1	18	XP_011507694;XP_011507696;XP_047273101;XP_047273103;XP_047273107;XP_047273108;XP_054191825;XP_054191826;XP_054191827;XP_054191828;XP_054191829;XP_054191830;NP_056190;NP_955749;Q6XUX3;ENSP00000356129;ENSP00000356130;ENSP00000478016
DTD1	92675	20	20p11.23	49	XP_054180199;NP_001304972;NP_543010;Q8TEA8;A0A2R8Y6X2;A0A2R8YCT7;ENSP00000493969;ENSP00000495845;ENSP00000366672
DTD2	112487	14	14q12	17	NP_542395;Q96FN9;F8VVE1;ENSP00000312224;ENSP00000348503;ENSP00000449624
DTL	51514	1	1q32.3	35	XP_011507916;XP_047278445;XP_054192949;XP_054192950;NP_001273158;NP_001273159;NP_057532;Q9NZJ0;F5GZ90;ENSP00000443870;ENSP00000355958
DTNA	1837	18	18q12.1	46	XP_016881064;XP_047293272;XP_047293273;XP_047293274;XP_047293275;XP_047293276;XP_047293277;XP_047293278;XP_047293279;XP_047293280;XP_047293281;XP_047293282;XP_047293283;XP_047293284;XP_047293285;XP_047293286;XP_047293287;XP_047293288;XP_047293289;XP_047293290;XP_047293291;XP_047293292;XP_047293293;XP_047293294;XP_047293295;XP_047293296;XP_054174214;XP_054174215;XP_054174216;XP_054174217;XP_054174218;XP_054174219;XP_054174220;XP_054174221;XP_054174222;XP_054174223;XP_054174224;XP_054174225;XP_054174226;XP_054174227;XP_054174228;XP_054174229;XP_054174230;XP_054174231;XP_054174232;XP_054174233;XP_054174234;XP_054174235;XP_054174236;XP_054174237;XP_054174238;XP_054174239;NP_001121647;NP_001185867;NP_001185868;NP_001185869;NP_001185870;NP_001185871;NP_001185872;NP_001185873;NP_001185874;NP_001373682;NP_001373683;NP_001373684;NP_001373685;NP_001373686;NP_001373687;NP_001373688;NP_001373689;NP_001373690;NP_001373691;NP_001373692;NP_001373693;NP_001373694;NP_001373695;NP_001373696;NP_001373697;NP_001373698;NP_001373699;NP_001373700;NP_001373701;NP_001373702;NP_001373703;NP_001373704;NP_001373705;NP_001373706;NP_001373717;NP_001373724;NP_001381;NP_001382;NP_001383;NP_116757;NP_116760;NP_116761;NP_116762;NP_116763;Q9Y4J8;A0A7P0T8Y5;A0A7P0T9L1;A0A7P0TBH9;A0A7P0Z4D7;A0A804HHT6;M0QZ28;A0A7P0T818;A0A7P0T8G2;A0A7P0T8J4;A0A7P0TAN3;A0A7P0TAU5;A0A7P0TBG1;A0A804HHU2;A0A804HII3;A0A804HII4;A0A804HJU0;A0A804HKS8;A0A804HKZ4;A0A804HLB1;K7EIV1;K7EJ84;K7EMN1;K7ENJ7;K7ERZ2;K7ESB2;M0R021;ENSP00000508131;ENSP00000469121;ENSP00000283365;ENSP00000322519;ENSP00000472031;ENSP00000507106;ENSP00000508057;ENSP00000507995;ENSP00000507300;ENSP00000506790;ENSP00000506586;ENSP00000508159;ENSP00000465063;ENSP00000506271;ENSP00000506098;ENSP00000507082;ENSP00000505722;ENSP00000506928;ENSP00000468473;ENSP00000507104;ENSP00000466573;ENSP00000466978;ENSP00000508348;ENSP00000507911;ENSP00000470152;ENSP00000464904;ENSP00000451516;ENSP00000382072;ENSP00000473078;ENSP00000506757;ENSP00000507924;ENSP00000470716;ENSP00000507645;ENSP00000506495;ENSP00000505947;ENSP00000336682;ENSP00000505183;ENSP00000505718;ENSP00000505379;ENSP00000468631;ENSP00000473119;ENSP00000405819;ENSP00000506659;ENSP00000504909;ENSP00000382064;ENSP00000470247;ENSP00000507080;ENSP00000269192;ENSP00000506763;ENSP00000508278;ENSP00000505120;ENSP00000467720;ENSP00000471783;ENSP00000452255;ENSP00000470934;ENSP00000506345;ENSP00000507423;ENSP00000506633
DTNB	1838	2	2p23.3	42	NP_001243232;NP_001243233;NP_001243237;NP_001307861;NP_001307862;NP_001307863;NP_001307864;NP_001307865;NP_001307866;NP_001338310;NP_001338311;NP_001338312;NP_001338313;NP_001338314;NP_001338315;NP_001338316;NP_001338317;NP_001338318;NP_001338319;NP_001338320;NP_001338321;NP_001338322;NP_001338323;NP_001338324;NP_001381615;NP_068707;NP_149159;NP_149160;NP_899204;NP_899205;O60941;E7EVB6;E9PEY4;E7ES64;E9PE76;F8W9U0;F8WD22;ENSP00000381924;ENSP00000384084;ENSP00000385482;ENSP00000384787;ENSP00000384767;ENSP00000385193;ENSP00000288642;ENSP00000385784;ENSP00000349007;ENSP00000306529;ENSP00000340957
DTNBP1	84062	6	6p22.3	49	XP_011513239;XP_047275350;XP_047275351;XP_054212489;XP_054212490;XP_054212491;NP_001258596;NP_001258597;NP_001258598;NP_115498;NP_898861;Q96EV8;A0A087WYP9;A6NFV8;D6RID1;D6RAR7;D6RAX1;D6RB80;D6RCT8;D6RJC6;ENSP00000427239;ENSP00000341680;ENSP00000424685;ENSP00000481997;ENSP00000348183;ENSP00000425495;ENSP00000424357;ENSP00000421797;ENSP00000344718;ENSP00000424202;ENSP00000427473
DTWD1	56986	15	15q21.2	18	XP_011520117;XP_016877912;XP_016877913;XP_016877914;XP_016877915;XP_047288835;XP_047288836;XP_047288837;XP_054234453;XP_054234454;XP_054234455;XP_054234456;XP_054234457;XP_054234458;XP_054234459;XP_054234460;NP_001138427;NP_064619;Q8N5C7;H0YK73;H0YL61;H0YML0;H0YMP4;ENSP00000452628;ENSP00000385399;ENSP00000453529;ENSP00000453686;ENSP00000453071;ENSP00000453649;ENSP00000452685;ENSP00000251250
DTWD2	285605	5	5q23.1	29	XP_011541640;XP_011541642;XP_054208407;XP_054208408;NP_001295010;NP_775937;Q8NBA8;D6RBD8;D6REE2;ENSP00000425048;ENSP00000302892;ENSP00000424221;ENSP00000425016
DTX2	113878	7	7q11.23	32	XP_011514076;XP_016867213;XP_016867215;XP_016867219;XP_024302417;XP_047275808;XP_047275809;XP_047275810;XP_047275811;XP_047275812;XP_047275813;XP_047275814;XP_047275815;XP_047275816;XP_047275817;XP_047275818;XP_054213158;XP_054213159;XP_054213160;XP_054213161;XP_054213162;XP_054213163;XP_054213164;XP_054213165;XP_054213166;XP_054213167;XP_054213168;XP_054213169;XP_054213170;XP_054213171;XP_054213172;XP_054213173;NP_001096064;NP_001096065;NP_001096066;NP_065943;Q86UW9;E7ET89;C9JEH4;C9JII1;C9JY61;Q75MM6;A0A0J9YXJ6;C9IYX1;C9JF39;C9JLU8;C9JS11;C9JVC8;H7C3B8;ENSP00000407398;ENSP00000409040;ENSP00000389231;ENSP00000322885;ENSP00000390881;ENSP00000397648;ENSP00000411986;ENSP00000390218;ENSP00000415838;ENSP00000387894;ENSP00000392114;ENSP00000403342;ENSP00000399639;ENSP00000392545;ENSP00000410892
DTX3	196403	12	12q13.3	21	XP_005268754;XP_005268755;XP_005268757;XP_005268760;XP_011536324;XP_024304644;XP_047284435;XP_047284436;XP_047284437;XP_047284438;XP_047284439;XP_047284440;XP_054227353;XP_054227354;XP_054227355;XP_054227356;XP_054227357;XP_054227358;XP_054227359;XP_054227360;XP_054227361;NP_001273174;NP_001273175;NP_848597;Q8N9I9;A0A0C4DGI8;F8VUZ4;H0YHF9;A0A1Y8EH36;F8VV96;ENSP00000449294;ENSP00000449118;ENSP00000449950;ENSP00000449688;ENSP00000338050;ENSP00000447873;ENSP00000448696;ENSP00000448224;ENSP00000446996
DTX3L	151636	3	3q21.1	60	NP_612144;Q8TDB6;ENSP00000296161;ENSP00000373157
DTYMK	1841	2	2q37.3	43	NP_001158503;NP_001307831;NP_001307832;NP_001307833;NP_001307834;NP_036277;P23919;H7BZ20;G5E9E9;H7C312;H7C3A4;ENSP00000304802;ENSP00000383581;ENSP00000408939;ENSP00000410647;ENSP00000387379
DUOX1	53905	15	15q21.1	14	XP_011519983;XP_011519984;XP_047288646;XP_047288647;XP_047288648;XP_047288649;XP_054234191;XP_054234192;XP_054234193;XP_054234194;XP_054234195;XP_054234196;NP_059130;NP_787954;Q9NRD9;H0YK19;A0A804HKN9;H0YNR5;ENSP00000317997;ENSP00000373689;ENSP00000454121;ENSP00000452623;ENSP00000454065;ENSP00000508006
DUS1L	64118	17	17q25.3	26	XP_005256450;XP_005256451;XP_006722351;XP_006722352;XP_024306636;XP_024306637;XP_024306638;XP_024306639;XP_047292475;XP_047292476;XP_047292477;XP_054172862;XP_054172863;XP_054172864;XP_054172865;XP_054172866;XP_054172867;XP_054172868;XP_054172869;XP_054172870;XP_054172871;NP_071439;Q6P1R4;F5H0Q0;H0YGW8;J3KSK2;J3KT57;J3QKP9;J3QLE4;J3QQL9;J3QQZ0;ENSP00000303515;ENSP00000346280;ENSP00000462812;ENSP00000445110;ENSP00000438718;ENSP00000462526;ENSP00000463509;ENSP00000463962;ENSP00000463180;ENSP00000463797
DUS2	54920	16	16q22.1	27	NP_001258691;NP_001258692;NP_060273;Q9NX74;E7EUN9;H3BM64;H3BMK6;H3BQX4;H3BRI6;H3BSF3;H3BTR3;I3L0K0;I3L1K5;I3L4H0;I3L4Y9;J3QLD5;ENSP00000458906;ENSP00000461244;ENSP00000461659;ENSP00000458152;ENSP00000454252;ENSP00000351769;ENSP00000455977;ENSP00000454424;ENSP00000455229;ENSP00000409498;ENSP00000456261;ENSP00000456677;ENSP00000463498;ENSP00000457292
DUS3L	56931	19	19p13.3	50	XP_016882509;XP_047295067;XP_054177483;XP_054177484;NP_001155091;NP_064560;Q96G46;K7EJX8;K7EM42;K7EPA4;K7EQU9;K7ER20;K7ERF2;ENSP00000466351;ENSP00000311977;ENSP00000315558;ENSP00000468075;ENSP00000467987;ENSP00000465369;ENSP00000467302;ENSP00000468233
DUS4L	11062	7	7q22.3	5	NP_001257348;NP_853559;O95620;F2Z2E4;F8WEL2;F8WFE3;ENSP00000402887;ENSP00000265720;ENSP00000388904;ENSP00000388061;ENSP00000412739;ENSP00000399375
DUSP11	8446	2	2p13.1	21	NP_003575;O75319;H7C0E6;A0A8Q3SI82;A0A8Q3SI85;A0A8Q3SIB0;A0A8Q3SIC9;A0A8Q3SIE6;A0A8Q3SIF8;A0A8Q3WM77;ENSP00000512354;ENSP00000272444;ENSP00000512355;ENSP00000512356;ENSP00000512357;ENSP00000512358;ENSP00000512359;ENSP00000413444;ENSP00000394535;ENSP00000512360
DUSP12	11266	1	1q23.3	31	XP_005244919;XP_054189982;NP_009171;Q9UNI6;V9GY92;V9GYV5;ENSP00000476528;ENSP00000476912;ENSP00000356920;ENSP00000477122
DUSP14	11072	17	17q12	13	XP_005257034;XP_011522536;XP_047291173;XP_054170826;XP_054170827;XP_054170828;XP_054170829;XP_054185204;XP_054185205;XP_054185206;NP_008957;O95147;ENSP00000478595;ENSP00000484091;ENSP00000477653
DUSP16	80824	12	12p13.2	24	XP_006719218;XP_011519158;XP_047285524;XP_047285525;XP_047285526;XP_047285527;XP_054187675;XP_054187676;XP_054187677;XP_054187678;XP_054187679;XP_054187680;XP_054187681;XP_054187682;XP_054187683;XP_054229273;XP_054229274;XP_054229275;XP_054229276;XP_054229277;XP_054229278;XP_054229279;XP_054229280;XP_054229281;XP_054229282;NP_085143;Q9BY84;F5H5X4;ENSP00000298573;ENSP00000228862;ENSP00000443039;ENSP00000441250
DUSP22	56940	6	6p25.3	25	XP_011513059;XP_016866551;XP_054211915;XP_054211916;NP_001273484;NP_064570;Q9NRW4;S4R378;S4R3A4;S4R3K1;S4R3M1;S4R459;ENSP00000474082;ENSP00000345281;ENSP00000474646;ENSP00000474827;ENSP00000474450;ENSP00000475106;ENSP00000475061;ENSP00000474000;ENSP00000397459;ENSP00000474330;ENSP00000474505
DUSP23	54935	1	1q23.2	38	NP_001306587;NP_001306588;NP_060293;Q9BVJ7;ENSP00000357089;ENSP00000357088;ENSP00000357087
DUSP3	1845	17	17q21.31	42	NP_004081;P51452;K7ELG5;K7ES89;K7EPK5;ENSP00000226004;ENSP00000466069;ENSP00000468604;ENSP00000467424
DUSP4	1846	8	8p12	2	NP_001385;NP_476499;Q13115;ENSP00000240100;ENSP00000240101
DUSP7	1849	3	3p21.2	5	NP_001938;Q16829;H7C4Z0;ENSP00000417183;ENSP00000418566
DUSP9	1852	X	Xq28	16	XP_011529425;XP_047297855;XP_054182616;XP_054182617;NP_001305432;NP_001386;Q99956;ENSP00000359186;ENSP00000345853
DUT	1854	15	15q21.1	61	NP_001020419;NP_001020420;NP_001317215;NP_001939;P33316;A0A0C4DGL3;H0YKC5;H0YMP1;H0YNW5;H0YKI0;H0YMM5;H0YNJ9;ENSP00000453667;ENSP00000454183;ENSP00000453717;ENSP00000370376;ENSP00000452749;ENSP00000452814;ENSP00000405160;ENSP00000454041;ENSP00000453683
DVL1	1855	1	1p36.33	34	XP_005244789;XP_005244790;XP_047304046;XP_054190779;XP_054190780;XP_054190781;NP_001317240;NP_004412;O14640;A0A0J9YWZ5;A0A0J9YYK1;ENSP00000368169;ENSP00000368166;ENSP00000488888;ENSP00000488181
DVL2	1856	17	17p13.1	46	XP_005256559;XP_047291474;XP_047291475;XP_047291476;XP_047291478;XP_054171283;XP_054171284;XP_054171285;XP_054171286;XP_054171287;NP_004413;O14641;I3L2N2;I3L0M7;I3L0Z8;I3L2W9;ENSP00000005340;ENSP00000459797;ENSP00000458465;ENSP00000459991;ENSP00000458209
DVL3	1857	3	3q27.1	45	NP_004414;Q92997;A0A3B3ISG4;A0A3B3ITC6;F8WCF1;ENSP00000316054;ENSP00000412345;ENSP00000405885;ENSP00000497340;ENSP00000497654
DXO	1797	6	6p21.33	27	XP_006715068;XP_047274218;XP_047274219;XP_047274220;XP_054185719;XP_054185720;XP_054185721;XP_054186212;XP_054186213;XP_054186754;XP_054186755;XP_054186756;XP_054186990;XP_054186991;XP_054186992;XP_054187256;XP_054187257;XP_054187258;XP_054210391;XP_054210392;XP_054210393;XP_054210394;NP_001358134;NP_001358135;NP_005501;O77932;H7C5D2;F8WC68;ENSP00000364498;ENSP00000419588;ENSP00000337759;ENSP00000364505;ENSP00000418632
DYM	54808	18	18q21.1	28	XP_006722555;XP_011524338;XP_011524339;XP_011524340;XP_011524341;XP_011524343;XP_011524344;XP_016881284;XP_047293509;XP_047293510;XP_047293511;XP_047293512;XP_047293513;XP_047293514;XP_047293515;XP_047293516;XP_054174672;XP_054174673;XP_054174674;XP_054174675;XP_054174676;XP_054174677;XP_054174678;XP_054174679;XP_054174680;XP_054174681;XP_054174682;XP_054174683;XP_054174684;XP_054174685;XP_054174686;XP_054174687;XP_054174688;NP_001340139;NP_001340140;NP_001340141;NP_001340142;NP_001340143;NP_001340144;NP_001340145;NP_001361357;NP_001361358;NP_001361359;NP_001361360;NP_001361361;NP_001361362;NP_001361363;NP_001361364;NP_001361365;NP_001361366;NP_001361367;NP_001361368;NP_001361369;NP_001361370;NP_001361371;NP_001361372;NP_001361373;NP_060123;Q7RTS9;A0A6Q8PF81;E9PG80;J3KRG4;J3KSF9;J3KTF2;J3QQT7;J3QR81;J3QRD8;J3QRF2;J3QSE7;ENSP00000501694;ENSP00000269445;ENSP00000395942;ENSP00000464163;ENSP00000461989;ENSP00000415292;ENSP00000464653;ENSP00000464183;ENSP00000462466;ENSP00000463892;ENSP00000462954;ENSP00000464089
DYNC1H1	1778	14	14q32.31	61	NP_001367;Q14204;A0A2R8Y5T0;A0A2R8Y6H2;A0A2R8Y706;A0A2R8YFZ7;A0A2R8YGC7;A0A7P0T7V5;A0A7P0T825;A0A7P0T8N2;A0A7P0T8W5;A0A7P0T916;A0A7P0T942;A0A7P0T990;A0A7P0T9C4;A0A7P0T9F1;A0A7P0T9K2;A0A7P0T9R4;A0A7P0TA13;A0A7P0TAF3;A0A7P0TAM4;A0A7P0TAV5;A0A7P0TAW9;A0A7P0TB64;A0A7P0TB75;A0A7P0TBJ7;A0A804HHY6;A0A7P0T934;A0A7P0T9S3;A0A7P0T9Y3;A0A7P0TAS7;A0A7P0TB96;A0A7P0TBC9;ENSP00000506351;ENSP00000506420;ENSP00000505734;ENSP00000505467;ENSP00000506446;ENSP00000505519;ENSP00000495528;ENSP00000505294;ENSP00000504911;ENSP00000505589;ENSP00000506124;ENSP00000506688;ENSP00000505201;ENSP00000505821;ENSP00000505483;ENSP00000495022;ENSP00000506344;ENSP00000504863;ENSP00000506166;ENSP00000495944;ENSP00000495220;ENSP00000505523;ENSP00000506521;ENSP00000505744;ENSP00000505667;ENSP00000505332;ENSP00000348965;ENSP00000506816;ENSP00000506208;ENSP00000505938;ENSP00000495884;ENSP00000506637
DYNC1I1	1780	7	7q21.3	36	NP_001129028;NP_001129029;NP_001265350;NP_001265351;NP_004402;O14576;A0A0A0MTG2;C9J3E7;E5RFE1;E5RJ75;ENSP00000438377;ENSP00000392337;ENSP00000428934;ENSP00000320130;ENSP00000486363;ENSP00000398118;ENSP00000352348;ENSP00000411957;ENSP00000428273;ENSP00000412444
DYNC1I2	1781	2	2q31.1	63	NP_001258714;NP_001258715;NP_001258716;NP_001258717;NP_001258718;NP_001258719;NP_001307811;NP_001307812;NP_001307813;NP_001369;NP_001365384;NP_001365385;Q13409;E7EMU4;E7EQL5;E7EQU2;E7ERH4;E7ERR6;E7ESD3;E7ET01;E7ETL8;E7EU01;E7EUM4;E7EV09;E9PGG1;ENSP00000398765;ENSP00000339430;ENSP00000380308;ENSP00000386522;ENSP00000392741;ENSP00000423339;ENSP00000386397;ENSP00000388699;ENSP00000386591;ENSP00000386415;ENSP00000405454;ENSP00000386886;ENSP00000415410;ENSP00000410807;ENSP00000401005;ENSP00000406104;ENSP00000397654;ENSP00000394492;ENSP00000409951;ENSP00000403089
DYNC1LI1	51143	3	3p22.3	59	XP_047304202;XP_054202696;NP_001316064;NP_057225;Q9Y6G9;C9JGM7;C9JLW1;E9PHI6;ENSP00000273130;ENSP00000407279;ENSP00000390507;ENSP00000409019
DYNC1LI2	1783	16	16q22.1	58	XP_016878497;XP_054235699;NP_001273086;NP_001310884;NP_006132;O43237;B4E2E0;H3BUM4;J3KRI4;J3KRZ2;H3BU48;J3KSD2;J3QKK5;ENSP00000258198;ENSP00000394289;ENSP00000462434;ENSP00000462017;ENSP00000462224;ENSP00000408566;ENSP00000457707;ENSP00000457464;ENSP00000463124
DYNC2H1	79659	11	11q22.3	25	XP_006718966;XP_016873780;XP_016873781;XP_016873782;XP_054225915;XP_054225916;XP_054225917;XP_054225918;NP_001073932;NP_001368;Q8NCM8;A0A3B3ISP9;A0A3B3IT36;H0YDE0;H0YEX1;ENSP00000497329;ENSP00000364887;ENSP00000497174;ENSP00000497581;ENSP00000334021;ENSP00000433451;ENSP00000436736
DYNC2I1	55112	7	7q36.3	34	XP_006716104;XP_011514669;XP_011514671;XP_016867870;XP_016867871;XP_016867877;XP_047276511;XP_047276512;XP_047276513;XP_047276514;XP_047276515;XP_047276516;XP_047276517;XP_047276518;XP_047276519;XP_054214530;XP_054214531;XP_054214532;XP_054214533;XP_054214534;XP_054214535;XP_054214536;XP_054214537;XP_054214538;XP_054214539;XP_054214540;XP_054214541;XP_054214542;XP_054214543;NP_001337843;NP_001337844;NP_001337845;NP_001337846;NP_001337847;NP_060521;Q8WVS4;H7BYQ2;H7C022;H7C1E8;ENSP00000384290;ENSP00000380330;ENSP00000392608;ENSP00000399971
DYNC2I2	89891	9	9q34.11	14	XP_011517481;XP_047280013;XP_054220118;XP_054220119;NP_443076;Q96EX3;A2A3F8;ENSP00000361800;ENSP00000415421
DYNC2LI1	51626	2	2p21	18	NP_001180393;NP_001335841;NP_001335842;NP_056337;NP_057092;Q8TCX1;H7BYC8;E5RFM8;E5RJK4;E5RK97;ENSP00000260605;ENSP00000430356;ENSP00000385738;ENSP00000430525;ENSP00000381804;ENSP00000474032;ENSP00000428082;ENSP00000367850
DYNLL1	8655	12	12q24.31	51	NP_001032583;NP_001032584;NP_003737;P63167;F8VRV5;F8VXI7;F8VXL2;ENSP00000376297;ENSP00000448834;ENSP00000447907;ENSP00000448608;ENSP00000376296;ENSP00000446596;ENSP00000447494;ENSP00000446614;ENSP00000449088;ENSP00000242577
DYNLL2	140735	17	17q22	40	NP_542408;Q96FJ2;ENSP00000477310
DYNLRB1	83658	20	20q11.22	39	NP_001306086;NP_001369294;NP_001369295;NP_001369296;NP_054902;Q9NP97;A0A8V8TKK9;B1AKR6;ENSP00000513021;ENSP00000513022;ENSP00000349679;ENSP00000300469;ENSP00000363979
DYNLT1	6993	6	6q25.3	32	NP_001278531;NP_001278532;NP_006510;P63172;ENSP00000356056
DYNLT2B	255758	3	3q29	9	NP_001338557;NP_689986;Q8WW35;E7ER86;F8WD40;ENSP00000415835;ENSP00000324323;ENSP00000410605
DYNLT3	6990	X	Xp11.4	26	NP_006511;P51808;A6NGJ0;F2Z328;ENSP00000367844;ENSP00000367841;ENSP00000402695
DYRK1A	1859	21	21q22.13	46	NP_001334650;NP_001334651;NP_001334652;NP_001387;NP_567824;NP_569120;NP_569122;Q13627;A0A2R8Y443;A0A2R8Y6I6;A0A2R8Y6L5;A0A2R8YDF3;A0A2R8YEY4;E7EMI5;N0GVR9;ENSP00000495632;ENSP00000496748;ENSP00000494572;ENSP00000495571;ENSP00000494544;ENSP00000342690;ENSP00000493627;ENSP00000494698;ENSP00000412269;ENSP00000381932;ENSP00000495908;ENSP00000398483;ENSP00000493653;ENSP00000494897;ENSP00000495596;ENSP00000494536;ENSP00000381929
